name, value
force_assembly, This skill mod enhances your ability to succeed when crafting any object.
force_choke, This mod represents the duration of your Force Chokes.
force_control_dark, This skill mod increases the strength of Force Armor, Force Shield and Force Absorb.
force_control_light, This skill mod increases the strength of Force Armor, Force Shield and Force Absorb.
force_defense, This skill mod affects your ability to defend yourself from Force attacks.
force_experimentation, This skill mod directly increases your chance at receiving an amazing success when crafting any object.
force_failure_reduction, This skill mod decreases the chances of failing when crafting an item.
force_feedback, This mod indicates the amount of feedback that a Force attack will cause.
force_luck, You seem to be lucky, and this skill mod is an indication of just how lucky.  This will affect things like the amount of money you find on defeated foes.
force_manipulation_dark, This skill mod increases the efficiency of any Force ability.
force_manipulation_light, This skill mod increases the efficiency of any Force ability.
force_persuade, This skill mod allows you to use a minor Jedi mind trick, getting you better prices for some goods, like skill training from skill trainers.
force_power_dark, This skill mod increases the strength of any offensive Force attack.
force_power_light, This skill mod increases the strength of any offensive Force attack.
force_repair_bonus, This skill mod directly affects your chances of repairing a damaged or broken item.
force_run, The Force run skill mod is a direct multiplier to the movement speed of the Jedi.
force_shield, This mod increase the amount of Force damage your Force Shield blocks.
force_vehicle_control, This skill mod gives you better control over a vehicle that you are piloting, giving it a better maximum turn rate and better turning abilities overall.
force_vehicle_speed, This skill mod affects your acceleration and deceleration abilities with a vehicle that you are piloting, allowing you to achieve your maximum speed more quickly, and making your ability to stop more effective.
forceintimidate_accuracy, This skill mod improves your chance to intimidate enemies with the Force.
forceknockdown_accuracy, This skill mod improves your chance to knock down enemies with the Force.
forcelightning_accuracy, This skill mod improves your chance to successfully hit your enemies with Force lightning.
forcethrow_accuracy, This skill mod improves your chance to hit enemies with small objects thrown with the Force.
forceweaken_accuracy, This skill mod improves your chance to successfully debilitate your enemies with the Force.
frs_dark_envy, Envy modifies Jedi special attacks so that they damage Force power and return some of it to the wielder.
frs_dark_suffering, Suffering modifies Jedi special attacks so that they weaken the attributes of a non-Jedi (or Jedi depleted of Force power) for a short period of time.
frs_dark_vengeance, Vengeance inflicts wounds upon those who attack the Jedi.
frs_light_serenity, Serenity temporarily weakens the attributes of those who attack the Jedi.
frs_light_vigilance, Vigilance modifies Jedi special attacks so that they damage Force power.
frs_light_wisdom, Wisdom modifies Jedi special attacks so that they drain the attribute pools of a non-Jedi (or Jedi depleted of Force power) and transfer them to the wielder.
general_assembly, This skill mod increases the chance of succeeding when crafting general items.
general_experimentation, This skill mod directly affects how many experimentation points you receive when crafting general items.
grenade_assembly, the Grenade Assembly skill mod helps to determine success in grenade assembly.
grenade_experimentation, The Grenade Experimentation skill mod directly affects how many Experimentation points you receive when crafting grenades.
group_burst_run, The group burst run efficiency skill mod is a direct percentage decrease to the cost of using the /burstrun command for all members of your group.
group_melee_defense, The group melee defense skill mod grants everyone in the Squad Leader's party the ability to defend against melee attacks more effectively.
group_ranged_defense, The group ranged defense skill mod grants everyone in the Squad Leader's party the ability to defend against ranged attacks more effectively.
group_slope_move, This skill mod determines how fast members of a Squad Leader's group can move through sloped terrain conditions.  The higher the number, the easier group members can move over hills.
hair, This skill mod determines how adept the Image Designer is at modifying a character's hairstyle. This is used to trim or color facial hair, as well as to sculpt hairstyles and modify hair color.
healing_ability, This skill mod determines the cost to your mind when attempting to heal patients.  The higher the number, the smaller the cost is.
healing_dance_ability, This skill mod determines the number of dances that you know.  The higher the number, the more dances you are likely to know.
healing_dance_mind, This skill mod determines how effective you are at healing the Mind injuries of players that are watching you dance.
healing_dance_shock, This skill mod determines how effective you are at healing the Battle Fatigue of players that are watching you dance.
healing_dance_wound, This skill mod determines how effective you are at healing the Mind/Focus/Willpower wounds of players that are watching you dance.
healing_injury_speed, This skill mod helps to lower the duration between healing injuries.  A higher number means that you can heal injuries more often.
healing_injury_treatment, This skill mod provides a direct bonus to the number of injuries you can heal at once.  A bonus of 50 would equal 50% more injury points healed per treatment.  This also changes the effects of enhancement medication.
healing_music_ability, This skill mod determines what songs you can play and what instruments you can use.  The higher the number, the wider the variety of both songs and instruments.
healing_music_mind, This skill mod determines how effective you are at healing the Mind injuries of players that are listening to you play music.
healing_music_shock, This skill mod determines how effective you are at healing the Battle Fatigue of players that are listening to you play music.
healing_music_wound, This skill mod determines how effective you are at healing the Mind/Focus/Willpower wounds of players that are listening to you play music.
healing_range, This Combat Medic skill mod is used to help extend the range of effective ranged healing.  The higher the number, the further your healing target can be from you and still be healed.
healing_range_speed, This skill mod helps to lower the duration time between ranged healings.  A higher number means that you can perform ranged heals more often.
healing_wound_speed, This skill mod helps to lower the duration time between healing wounds.  A higher number means that you can heal wounds more often.
healing_wound_treatment, This skill mod provides a direct bonus to the amount of wounds you can heal at once.  A bonus of 50 would equal 50% more wounds healed per treatment.  This also changes the effects of enhancement medication.
heavy_acid_beam_accuracy, This mod improves your accuracy with Heavy Acid Beam weapons.
heavy_acid_beam_speed, This mod improves your attack speed with Heavy Acid Beam weapons.
heavy_acid_rifle_accuracy, As the Heavy Acid Rifle skill mod increases, the chance to hit an enemy with a Heavy Acid Rifle increases.
heavy_acid_rifle_speed, This mod improves your attack speed with Heavy Acid Rifles.
heavy_flame_thrower_accuracy, As the Flamethrower Accuracy skill mod increases, the chance to hit an enemy with a Flamethrower increases.
heavy_flame_thrower_speed, This mod improves your attack speed with Flamethrowers.
heavy_lighting_rifle_accuracy, As the Light Lightning Cannon Accuracy skill mod increases, the chance to hit an enemy with a Light Lightning Cannon weapon also increases.
heavy_lightning_beam_accuracy, As the Heavy Lightning Beam Accuracy skill mod increases, the chance to hit an enemy with a Lightning Beam weapon increases.
heavy_lightning_beam_speed, This mod improves your attack speed with Heavy Lightning Beam weapons.
heavy_lightning_rifle_accuracy, As the Light Lightning Cannon Accuracy skill mod increases, the chance to hit an enemy with a Light Lightning Cannon weapon also increases.
heavy_particle_beam_accuracy, As the Heavy Particle Beam Accuracy skill mod increases, the chance to hit an enemy with a Heavy Particle Beam weapon also increases.
heavy_particle_beam_speed, This mod improves your attack speed with Heavy Particle Beam weapons.
heavy_rifle_acid_accuracy, As the Heavy Acid Rifle skill mod increases, the chance to hit an enemy with a Heavy Acid Rifle increases.
heavy_rifle_acid_speed, This mod improves your attack speed with Heavy Acid Rifles.
heavy_rifle_lighting_accuracy, As the Light Lightning Cannon Accuracy skill mod increases, the chance to hit an enemy with a Light Lightning Cannon weapon also increases.
heavy_rifle_lightning_accuracy, As the Light Lightning Cannon Accuracy skill mod increases, the chance to hit an enemy with a Light Lightning Cannon weapon also increases.
heavy_rifle_lightning_speed, This mod improves your attack speed with Light Lightning Cannons.
heavy_rocket_launcher_accuracy, As the Heavy Rocket Launcher skill mod increases, the chance to hit an enemy with a Heavy Rocket Launcher also increases.
heavy_rocket_launcher_speed, This mod improves your attack speed with Heavy Rocket Launchers.
heavyweapon_accuracy, The Heavy Weapon Accuracy skill mod changes how often you tend to hit with heavy weapons.
heavyweapon_speed, The Heavy Weapon Speed skill mod changes how often you can fire your weapon.
hiring, As your hiring skill mod increases, the variety of vendors you can place improves.  A high hiring skill mod gives the player access to new types of terminal, droid, and NPC vendors.
instrument_assembly, This skill mod increases the chances of succeeding when crafting instruments.
intimidate, This mod increases the chance of terrifying your target and putting them into the intimidated state. 
intimidate_defense, This mod decreases the chance of becoming intimidated. 
jedi_force_power_max, This mod represents the total Force power that is able to be wielded.
jedi_force_power_regen, This mod represents the rate at which your Force power regenerates in points per 10 seconds.
jedi_saber_assembly, This mod determines your chance of successfully assembling a lightsaber.
jedi_saber_experimentation, This mod directly affects the extent to which you are able to customize and experiment when crafting a lightsaber.
jedi_state_defense, This skill mod increases a Jedi's natural resistance to all states
jedi_toughness, This skill mod increases a Jedi's natural resistance to all damage types except lightsaber
keep_creature, This skill mod represents how many active pets you can have under your control at one time.
knockdown_defense, This mod will protect you from being knocked down.
language_all_comprehend, With this ability a character can understand most languages spoken in the known galaxy.  (The player can understand any spoken language without special skills.)
language_basic_comprehend, This skill mod determines how well you can comprehend Basic as spoken by other players.
language_basic_comprehension, This skill mod determines how well you can comprehend Basic as spoken by other players.
language_basic_speak, This skill mod determines how well you can speak Basic to other players.
language_bothan_comprehend, This skill mod determines how well you can comprehend Bothese as spoken by other players.
language_bothan_comprehension, This skill mod determines how well you can comprehend Bothese as spoken by other players.
language_bothan_speak, This skill mod determines how well you can speak Bothese to other players.
language_ithorian_comprehend, This skill mod determines how well you can comprehend Ithorian as spoken by other players.
language_ithorian_comprehension, This skill mod determines how well you can comprehend Ithorian as spoken by other players.
language_ithorian_speak, This skill mod determines how well you can speak Ithorian to other players.
language_lekku_comprehend, This skill mod determines how well you can comprehend the language of Lekku as displayed by Twi'leks.
language_lekku_comprehension, This skill mod determines how well you can comprehend the language of Lekku as displayed by Twi'leks.
language_lekku_speak, This skill mod determines how well you can communicate in Lekku to other players.
language_moncalamari_comprehend, This skill mod determines how well you can comprehend Mon Calamari as spoken by other players.
language_moncalamari_comprehension, This skill mod determines how well you can comprehend Mon Calamarian as spoken by other players.
language_moncalamari_speak, This skill mod determines how well you can speak Mon Calamarian to other players.
language_rodian_comprehend, This skill mod determines how well you can comprehend Rodese as spoken by other players.
language_rodian_comprehension, This skill mod determines how well you can comprehend Rodese as spoken by other players.
language_rodian_speak, This skill mod determines how well you can speak Rodese to other players.
language_sullustan_comprehend, This skill mod determines how well you can comprehend Sullustan as spoken by other players.
language_sullustan_comprehension, This skill mod determines how well you can comprehend Sullustan as spoken by other players.
language_sullustan_speak, This skill mod determines how well you can speak Sullustan to other players.
language_trandoshan_comprehend, This skill mod determines how well you can comprehend Dosh as spoken by other players.
language_trandoshan_comprehension, This skill mod determines how well you can comprehend Dosh as spoken by other players.
language_trandoshan_speak, This skill mod determines how well you can speak Dosh to other players.
language_twilek_comprehend, This skill mod determines how well you can comprehend Ryl as spoken by other players.
language_twilek_comprehension, This skill mod determines how well you can comprehend Ryl as spoken by other players.
language_twilek_speak, This skill mod determines how well you can speak Ryl to other players.
language_wookiee_comprehend, This skill mod determines how well you can comprehend Shyriiwook as spoken by Wookiees.
language_wookiee_comprehension, This skill mod determines how well you can comprehend Shyriiwook as spoken by Wookiees.
language_wookiee_speak, This skill mod determines how well you can speak Shyriiwook to other players.
language_zabrak_comprehend, This skill mod determines how well you can comprehend Zabrak as spoken by other players.
language_zabrak_comprehension, This skill mod determines how well you can comprehend Zabrak as spoken by other players.
language_zabrak_speak, This skill mod determines how well you can speak Zabrak to other players.
leadership, This skill mod affects different Squad Leader abilities.
light_lightning_cannon_accuracy, As the Light Lightning Cannon Accuracy skill mod increases, the chance to hit an enemy with a Light Lightning Cannon weapon also increases.
light_lightning_cannon_speed, This mod improves your attack speed with Light Lightning Cannons.
lightsaber_toughness, This skill mod decreases the amount of melee damage taken when wielding a lightsaber.
manage_vendor, For each point of Manage Vendor, the player may place a vendor in a structure.
markings, This skill mod determines how adept the Image Designer is at modifying the body markings of a character. This is used to change such things as  tattoos, Lekku markings, and Mon Calamarian spot patterns.
mask_scent, The higher your mask scent skill mod, the more effective you will be at hiding from aggressive and stalking creatures while /maskscent is enabled.  As this skill mod increases, the delay until you can use /maskscent again when detected is reduced and the duration of your scent mask increases.
medical_foraging, This skill mod determines how easy it is for you to successfully Medical Forage.
medicine_assembly, This skill mod increases the chance of succeeding when crafting medicine and medical items.
medicine_experimentation, This skill mod directly affects how many experimentation points you receive when crafting medicine and medical items.
meditate, As this skill modifier increases, the effects of the /meditate command become more potent.
melee_accuracy, This skill mod will improve your accuracy with all melee weapons.
melee_defense, This mod improves your defense against melee attacks.
melee_speed, This skill mod will improve your speed with all melee weapons.
mindblast_accuracy, This skill mod improves your chance to successfully invade and cause discord in the mind of an enemy.
missile_launching, This skill mod aids in controlling how well a missile shot is set up, how well the missile is locked onto its target, and other factors affecting a successful missile attack.
morale_management, This skill mod affects the morale of a Squad Leader's group.
mountedcreature, Current carrying a rider.
offensive_strategy, This skill mod affects the efficiency of various tactics.
onehandlightsaber_accuracy, This skill mod improves your accuracy with one-handed lightsabers.
onehandlightsaber_speed, This skill mod improves your attack speed with one-handed lightsabers.
onehandlightsaber_toughness, This skill mod decreases the amount of damage taken while wielding one-handed lightsabers.
onehandmelee_accuracy, This mod will improve your accuracy with one-handed melee weapons.
onehandmelee_center_of_being_efficacy, This skill mod controls the efficacy of Center Of Being when wielding a one-handed melee weapon.
onehandmelee_damage, This mod will increase your damage with one-handed melee weapons.
onehandmelee_speed, This mod will improve your speed with one-handed melee weapons.
onehandmelee_toughness, This mod will decrease the melee damage taken by you while using a one-handed melee weapon. 
onehandmeleeaccuracy, This mod will improve your accuracy with one-handed melee weapons.
pilot_special_tactics, This skill mod reflects the pilot's level of general knowledge and increasing ability in executing the various pilot command tricks of the trade that they learn.
pistol_accuracy, As the Pistol Accuracy skill mod increases, the chance to hit an enemy with a pistol ranged attack also increases.
pistol_accuracy_while_standing, This improves your pistol accuracy while standing.
pistol_aim, The Pistol Aiming skill modifier directly amplifies the effectiveness of the Aim command. A high skill in this can drastically increase your odds of Aiming, particularly if multiple Aims are used consecutively in the course of one attack.
pistol_hit_while_moving, This improves your ability to hit while moving and using a pistol.
pistol_speed, This mod improves your attack speed with pistols.
polearm_accuracy, This improves your accuracy with polearms.
polearm_center_of_being_efficacy, This skill mod controls the efficacy of Center Of Being when wielding a polearm.
polearm_speed, This mod improves your speed with polearms.
polearm_toughness, This mod decreases the melee damage you will take when wielding a polearm.
polearmlightsaber_accuracy, This skill mod improves your accuracy with double-bladed lightsabers.
polearmlightsaber_speed, This skill mod improves your attack speed with double-bladed lightsabers.
polearmlightsaber_toughness, This skill mod decreases the amound of damage taken while wielding double-bladed lightsabers.
posture_change_down_defense, This mod will protect you from posture changing attacks.
posture_change_up_defense, This mod will protect you from posture changing attacks.
power_systems, This skill mod affects the crafting of reactors and power systems for starfighters.
power_systems_experimentation, This skill mod affects the experimentation of ship power systems.
propulsion_reverse, This number represents the highest level of reverse engineering you can accomplish.
ranged_accuracy, This skill mod will improve your accuracy with all ranged weapons.
ranged_defense, This mod will make you harder to hit with ranged weapons.
ranged_speed, This skill mod will improve your speed with all ranged weapons.
rescue, This modifier will increase your chance of successfully using the Ranger profession's rescue command.
resistance_bleeding, This skill mod increases the chance to resist bleeding.
resistance_disease, This skill mod increases the chance to resist the effects of disease.
resistance_fire, This skill mod increases the chance to resist fire.
resistance_poison, This skill mod increases the chance to resist poison.
resistance_states, This skill mod increases the chance to resist the effects of state attacks.
reverse_engineering, This skill mod affects analysis and construction of reverse engineered spaceship parts.
ridingmount, Currently riding on a vehicle or creature.
rifle_accuracy, As the Rifle Accuracy skill mod increases, the chance to hit an enemy with a rifle ranged attack also increases.
rifle_aim, The Rifle Aiming skill modifier directly amplifies the effectiveness of the Aim command. A high skill in this can drastically increase your odds of Aiming, particularly if multiple Aims are used consecutively in the course of one attack.
rifle_concealment_chance, This mod allows you to attack a mobile without attracting the attention from other mobiles nearby. You must be far enough away from the mobile for this ability to work properly.
rifle_crawl, The Rifle Crawl Speed skill modifier influences how fast players can crawl while using a rifle.
rifle_hit_while_moving, This mod will make you more accurate with a rifle while moving.
rifle_speed, This mod will increase your attack speed with a rifle.
saber_block, This skill mod determines your chance to block ranged attacks with your lightsaber.
sales, This skill mod determines how effective a vendor is at sales.
shields_assembly, This skill mod affects the crafting of starfighter deflector shields.
shields_experimentation, This skill mod affects the experimentation of ship shield systems.
shop_sign, This skill mod governs which shop signs are accessible to merchants.
slope_move, Terrain negotiation affects the player's ability to move in rough terrain.  From 0 to 50, this skill increases the player's ability to move up slopes quickly.  From 50 to 100, this skill increases the player's ability to move fast while prone.
spice_assembly, This skill mod governs the effectiveness of spice crafting.
spice_experimentation, This skill mod controls the quality of results in a spice experimentation session.
steadyaim, This skill mod determines the effectiveness of a Squad Leader's /steadyaim command.
stored_pets, This is the number of pets you may have stored at any time.
structure_assembly, This skill mod determines the chance of succeeding when crafting structures.
structure_complexity, This skill mod determines the level of complexity you have at your disposal when creating structures.
structure_experimentation, This skill mod directly affects how many experimentation points you receive when creating structures.
stun_defense, This mod will decrease your chance of being stunned.
survey_flora_structural, A higher Flora Surveying skill allows players to obtain samples more efficiently. Resources will start to become extractable at lower percentages, and more resources may be found on a successful sample.  However, this skill mod does not necessarily increase the chances of getting a successful sample. Prospecting has always been something of a hit-or-miss vocation.
survey_flora_structural_range, The Flora Surveying Range skill determines the range at which surveying is possible. A high Flora Surveying Range skill means that one can either modify the range at which surveying is seen. The result is that it is possible to get more accurate readings by reducing the surveying range one is looking at. This requires a surveying tool that supports range modification.
survey_flora_structural_resolution, A higher Flora Surveying Resolution tool gives prospecting players the ability to increase the number of resource marks seen on their survey screen. The result is that players with a higher skill in this will be much more efficient at expediently tracking down high resource deposits, as compared to a novice Artisan.
survey_gas, A higher Gas Surveying skill allows players to obtain samples more efficiently. Resources will start to become extractable at lower percentages, and more resources may be found on a successful sample.  However, this skill mod does not necessarily increase the chances of getting a successful sample. Prospecting has always been something of a hit-or-miss vocation.
survey_gas_range, The Gas Surveying Range skill determines the range at which surveying is possible. A high Gas Surveying Range skill means that one can either modify the range at which surveying is seen. The result is that it is possible to get more accurate readings by reducing the surveying range one is looking at. This requires a surveying tool that supports range modification.
survey_gas_resolution, A higher Gas Surveying Resolution tool gives prospecting players the ability to increase the number of resource marks seen on their survey screen. The result is that players with a higher skill in this will be much more efficient at expediently tracking down high resource deposits, as compared to a novice Artisan.
survey_liquid, A higher Liquid Surveying skill allows players to obtain samples more efficiently. Resources will start to become extractable at lower percentages, and more resources may be found on a successful sample.  However, this skill mod does not necessarily increase the chances of getting a successful sample. Prospecting has always been something of a hit-or-miss vocation.
survey_liquid_range, The Liquid Surveying Range skill determines the range at which surveying is possible. A high Liquid Surveying Range skill means that one can either modify the range at which surveying is seen. The result is that it is possible to get more accurate readings by reducing the surveying range one is looking at. This requires a surveying tool that supports range modification.
survey_liquid_resolution, A higher Liquid Surveying Resolution tool gives prospecting players the ability to increase the number of resource marks seen on their survey screen. The result is that players with a higher skill in this will be much more efficient at expediently tracking down high resource deposits, as compared to a novice Artisan.
survey_solid, A higher Mineral Surveying skill allows players to obtain samples more efficiently. Resources will start to become extractable at lower percentages, and more resources may be found on a successful sample.  However, this skill mod does not necessarily increase the chances of getting a successful sample. Prospecting has always been something of a hit-or-miss vocation.
survey_solid_range, The Mineral Surveying Range skill determines the range at which surveying is possible. A high Mineral Surveying Range skill means that one can either modify the range at which surveying is seen. The result is that it is possible to get more accurate readings by reducing the surveying range one is looking at. This requires a surveying tool that supports range modification.
survey_solid_resolution, A higher Mineral Surveying Resolution tool gives prospecting players the ability to increase the number of resource marks seen on their survey screen. The result is that players with a higher skill in this will be much more efficient at expediently tracking down high resource deposits, as compared to a novice Artisan.
surveying, As your surveying skill increases, you gain the ability to scan for resources over a greater distance.  You also gain a higher chance of successfully harvesting resources and yet a higher yield per successful sample attempt.
systems_reverse, This number represents the highest level of reverse engineering you can accomplish.
take_cover, This modifier will increase your chance of succesfully taking cover in ranged combat.
tame_aggro, This skill represents the Creature Handler's ability to tame aggressive creature types.
tame_bonus, This skill mod assists in the taming of wild creatures.
tame_level, This skill mod increases the maximum level of pet that that you can tame, and the maximum number of pet levels you may have active at any one time.  For example, a total of 20 means that you can tame creatures that are of up to level 20.  You could call a level 20 creature, or two level 10 creatures.  Note that you must also have sufficient 'Additional Pets' skill to call multiple pets regardless of level.
tame_non_aggro, This skill represents the Creature Handler's ability to tame non-aggressive creature types.
taunt, This modifier will increase your chance of succesfully taunting a creature as a Brawler.
thrown_accuracy, The Thrown Weapon Accuracy skill mod changes how often you tend to hit with thrown weapons.
thrown_speed, This mod improves your speed with thrown weapons.
tissue_assembly, This skill mod determines the chance of succeeding when assembling tissue as a Bio-Engineer.
tissue_experimentation, This skill mod directly affects how many experimentation points you receive when assembling tissue as a Bio-Engineer.
trapping, The trapping skill mod represents a Ranger or Scout's ability to use traps effectively.  As this skill mod increases, the player gains the ability to use more complex traps.  The player also becomes better at hitting increasingly stronger creatures with traps.
twohandlightsaber_accuracy, This skill mod improves your accuracy with two-handed lightsabers.
twohandlightsaber_speed, This skill mod improves your attack speed with two-handed lightsabers.
twohandlightsaber_toughness, This skill mod decreases the amount of damage taken while wielding two-handed lightsabers.
twohandmelee_accuracy, This mod improves your accuracy with two-handed melee weapons.
twohandmelee_center_of_being_efficacy, This skill mod controls the efficacy of Center Of Being when wielding a two-handed melee weapon.
twohandmelee_speed, This mod improves your speed with two-handed melee weapons.
twohandmelee_toughness, This mod decreases the amount of melee damage you will take when using a two-handed melee weapon.
unarmed_accuracy, This mod improves your accuracy when fighting unarmed.
unarmed_center_of_being_efficacy, This skill mod controls the efficacy of Center Of Being when fighting unarmed.
unarmed_damage, This mod improves your damage when fighting unarmed.
unarmed_passive_defense, This modifier improves your chances of reacting to a succesful hit with a dodge, counterattack or block.
unarmed_speed, This mod improves your speed when fighting unarmed.
unarmed_toughness, This mod will decrease the amount of melee damage you take when fighting unarmed.
vendor_item_limit, This skill mod determines how many items a merchant may sell on each vendor. 
volley, This mod improves your chance of successfully launching volley fire.
warcry, This modifier increases the chance of succesfully executing the Brawler profession's warcry command.
weapon_assembly, This skill mod determines the chance of succeeding when crafting weapons.
weapon_experimentation, This skill mod directly affects how many experimentation points you receive when creating weapons.
weapon_repair, This skill mod determines how effective you are at repairing weapons.
weapon_systems, This skill mod affects crafting of starfighter weapon systems.
weapon_systems_experimentation, This skill mod affects the experimentation of ship weapon systems.
bountyhunter_toughness, This skill mod increases a Bounty Hunter's natural resistance to lightsaber damage.
